,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,neutral_location
0,59,22,0,0,3,1,0
1,8,14,0,0,1,1,0
2,35,94,0,0,5,0,0
3,65,86,0,0,1,0,0
4,67,5,0,0,1,3,0
5,70,19,0,0,0,1,0
6,50,102,0,0,2,0,0
7,65,86,0,0,4,0,0
8,111,9,0,0,0,7,0
9,4,3,0,0,1,2,0
10,52,46,0,0,2,1,0
11,59,35,0,0,1,0,0
12,19,5,0,0,2,1,0
13,107,65,0,0,0,0,0
14,22,8,0,0,1,1,0
15,5,70,0,0,2,1,0
16,59,94,0,0,7,0,0
17,8,35,0,0,2,0,0
18,67,19,0,0,1,1,0
19,4,12,0,0,1,1,0
20,38,47,0,0,3,0,0
21,10,84,0,0,4,0,0
22,5,67,0,0,0,0,0
23,8,59,0,0,6,0,0
24,19,70,0,0,4,0,0
25,22,94,0,0,4,0,0
26,53,28,0,0,0,1,0
27,5,19,0,0,0,5,0
28,8,94,0,0,4,0,0
29,35,22,0,0,0,1,0
30,118,23,0,0,0,2,0
31,70,67,0,0,2,2,0
32,102,50,0,0,0,1,0
33,92,10,0,0,0,1,0
34,37,4,0,0,1,1,0
35,11,20,0,0,3,0,0
36,111,21,0,0,0,4,0
37,47,12,0,0,0,2,0
38,42,7,0,0,1,3,0
39,53,110,0,0,1,0,0
40,6,84,0,0,2,0,0
41,40,89,0,0,2,0,0
42,9,28,0,0,1,0,0
43,30,3,0,0,1,1,0
44,13,49,0,0,2,0,0
45,22,59,0,0,2,1,0
46,94,35,0,0,2,1,0
47,33,74,0,0,3,0,0
48,44,66,0,0,4,0,0
49,8,22,0,0,2,0,0
50,35,59,0,0,1,1,0
51,50,58,0,0,2,0,0
52,44,66,0,0,3,0,0
53,92,13,0,0,1,5,0
54,118,2,0,0,0,3,0
55,14,24,0,0,1,0,1
56,9,20,0,0,1,0,0
57,21,69,0,0,1,0,0
58,119,16,0,0,0,7,1
59,31,1,0,0,1,1,0
60,44,38,0,0,1,2,0
61,36,65,0,0,1,1,0
62,18,31,0,0,4,1,0
63,36,65,0,0,1,0,0
64,27,57,0,0,4,0,0
65,47,60,0,0,1,0,0
66,44,38,0,0,3,2,0
67,16,22,0,0,0,0,1
68,32,51,0,0,1,0,0
69,43,31,0,0,1,0,0
70,74,71,0,0,2,2,0
71,24,51,0,0,2,1,0
72,16,95,0,0,4,0,1
73,44,8,0,0,4,2,0
74,30,18,0,0,1,1,0
75,23,47,0,0,3,1,0
76,32,27,0,0,1,0,0
77,110,35,0,0,1,3,0
78,37,33,0,0,4,1,0
79,4,40,0,0,1,0,0
80,7,71,0,0,2,3,0
81,5,15,0,0,5,0,0
82,9,14,0,0,1,3,0
83,2,28,0,0,3,1,0
84,13,5,0,0,2,0,0
85,22,3,0,0,0,3,0
86,21,10,0,0,1,0,0
87,20,24,0,0,2,1,0
88,11,50,0,0,3,2,0
89,26,16,0,0,1,1,0
90,29,74,0,0,2,0,0
91,64,59,0,0,3,2,1
92,44,43,0,0,0,0,1
93,58,36,0,0,0,3,1
94,26,132,0,0,1,2,0
95,34,49,0,0,3,1,0
96,43,58,0,0,1,2,1
97,64,44,0,0,1,2,1
98,59,36,0,0,2,2,1
99,16,132,0,0,2,1,1
100,64,43,0,0,0,3,1
101,59,64,0,0,1,2,1
102,37,46,0,0,1,1,1
103,26,120,0,0,0,1,0
104,98,63,0,0,0,0,1
105,64,46,0,0,1,1,1
106,59,58,0,0,2,1,1
107,44,37,0,0,1,0,1
108,157,119,0,0,0,2,0
109,55,89,0,0,2,1,0
110,49,106,0,0,1,0,0
111,66,34,0,0,1,1,0
112,67,23,0,0,2,1,0
113,64,44,0,0,2,2,1
114,37,58,0,0,3,0,1
115,46,59,0,0,4,3,1
116,55,89,0,0,0,2,0
117,61,9,0,0,1,1,0
118,18,48,0,0,3,0,1
119,27,84,0,0,3,0,1
120,35,54,0,0,4,0,0
121,54,84,0,0,1,2,1
122,35,27,0,0,2,1,0
123,26,76,0,0,1,0,0
124,34,8,0,0,1,1,0
125,66,45,0,0,1,3,0
126,20,119,0,0,3,0,0
127,67,2,0,0,2,1,0
128,26,156,0,0,8,1,0
129,9,61,0,0,1,0,0
130,14,32,0,0,1,2,0
131,4,1,0,0,2,1,0
132,36,11,0,0,1,0,0
133,3,20,0,0,1,0,0
134,84,29,0,0,0,2,0
135,42,11,0,0,1,1,0
136,23,6,0,0,1,3,0
137,122,10,0,0,1,7,1
138,7,5,0,0,1,0,0
139,13,119,0,0,4,0,0
140,28,15,0,0,1,2,0
141,153,144,0,0,2,4,0
142,153,41,0,0,3,0,1
143,84,62,0,0,1,1,0
144,132,144,0,0,1,0,1
145,63,75,0,0,0,1,1
146,62,153,0,0,1,2,1
147,84,41,0,0,2,3,0
148,75,132,0,0,3,0,1
149,63,144,0,0,4,0,1
150,41,62,0,0,1,0,1
151,84,153,0,0,1,1,0
152,138,107,0,0,3,0,0
153,72,95,0,0,2,1,0
154,75,144,0,0,0,0,1
155,63,132,0,0,0,0,1
156,153,63,0,0,0,2,1
157,84,75,0,0,2,0,0
158,153,75,0,0,2,0,1
159,84,63,0,0,2,0,0
160,27,65,0,0,7,0,0
161,101,95,0,0,1,0,1
162,122,109,0,0,3,1,0
163,72,101,0,0,2,1,0
164,9,3,0,0,2,1,1
165,17,4,0,0,0,1,0
166,27,3,0,0,0,3,0
167,75,34,0,0,0,1,0
168,17,3,0,0,0,0,0
169,37,26,0,0,0,0,0
170,37,32,0,0,1,1,0
171,114,143,0,0,0,0,0
172,37,26,0,0,2,1,0
173,70,127,0,0,1,1,0
174,144,70,0,0,1,3,0
175,69,18,0,0,1,1,0
176,22,4,0,0,2,1,0
177,63,33,0,0,3,0,0
178,42,4,0,0,0,0,1
179,16,31,0,0,1,1,1
180,5,20,0,0,2,2,0
181,32,7,0,0,2,2,0
182,22,12,0,0,1,1,0
183,114,105,0,0,0,1,0
184,70,56,0,0,1,0,0
185,38,53,0,0,1,0,0
186,117,136,0,0,2,0,0
187,143,105,0,0,1,0,1
188,54,45,0,0,1,0,0
189,16,12,0,0,1,5,1
190,38,53,0,0,1,1,0
191,114,143,0,0,3,2,0
192,54,45,0,0,0,0,0
193,93,21,0,0,1,2,0
194,127,63,0,0,1,1,0
195,33,81,0,0,5,3,1
196,22,14,0,0,1,1,0
197,127,33,0,0,0,1,0
198,63,81,0,0,1,3,1
199,97,45,0,0,0,2,0
200,56,70,0,0,0,0,0
201,97,45,0,0,1,1,0
202,26,30,0,0,1,1,1
203,16,14,0,0,1,4,1
204,51,150,0,0,0,1,0
205,26,150,0,0,1,0,1
206,97,74,0,0,1,0,0
207,51,30,0,0,1,1,0
208,30,150,0,0,2,1,1
209,97,74,0,0,2,0,0
210,38,21,0,0,1,1,0
211,51,26,0,0,0,1,0
212,125,56,0,0,0,0,0
213,83,32,0,0,1,1,0
214,5,28,0,0,1,1,0
215,134,32,0,0,2,2,1
216,67,27,0,0,0,3,0
217,83,134,0,0,0,1,0
218,67,27,0,0,0,2,0
219,13,22,0,0,2,1,1
220,7,14,0,0,0,1,0
221,42,18,0,0,1,2,0
222,83,26,0,0,1,0,0
223,20,10,0,0,0,0,1
224,21,55,0,0,1,1,0
225,55,20,0,0,0,2,1
226,21,10,0,0,1,3,0
227,61,35,0,0,0,0,0
228,28,41,0,0,0,0,0
229,17,10,0,0,2,1,1
230,20,42,0,0,2,2,1
231,46,30,0,0,2,2,0
