,home_team_mean_offense_score,home_team_mean_midfield_score
8263,93.0,87.0
8264,89.3,89.5
8265,59.0,74.5
8266,73.0,74.0
8268,78.0,77.2
8269,65.3,58.2
8270,73.7,68.8
8271,78.7,79.0
8272,85.0,81.5
8274,78.3,73.5
8275,93.0,93.2
8276,77.0,69.2
8277,78.0,82.8
8278,92.3,87.5
8279,77.3,71.8
8283,73.7,71.0
8284,65.7,74.8
8286,79.0,79.0
8287,79.7,80.8
8289,72.0,73.8
8291,77.0,78.2
8292,79.3,82.2
8293,80.0,82.0
8295,60.7,65.8
8297,92.3,89.8
8298,79.3,73.5
8301,72.7,75.2
8303,67.0,68.8
8304,81.0,75.8
8305,77.3,74.8
8306,75.0,68.2
8307,67.3,57.8
8308,83.0,78.8
8312,73.0,74.0
8313,74.3,70.8
8314,72.7,70.5
8318,82.7,87.5
8319,83.7,85.2
8322,75.7,70.2
8335,93.0,87.0
8336,81.3,79.0
8339,80.3,78.0
8340,84.3,87.2
8341,79.7,81.8
8343,67.7,73.5
8345,83.3,80.8
8346,77.0,78.2
8351,79.3,80.5
8358,77.3,71.8
8368,59.0,74.5
8369,87.0,88.5
8370,73.0,74.0
8376,78.7,70.2
8377,72.7,70.5
8378,78.7,79.0
8380,81.3,86.8
8382,88.7,91.2
8383,78.3,73.5
8384,93.0,93.2
8396,79.7,81.8
8397,67.7,73.5
8398,72.0,73.8
8400,89.3,89.5
8403,83.3,80.8
8404,79.3,82.2
8405,81.7,65.8
8409,77.0,63.0
8411,72.7,75.2
8412,67.0,68.8
8414,67.3,57.8
8417,80.3,76.5
8423,92.3,89.8
8424,79.7,78.5
8425,73.7,68.8
8426,79.3,73.5
8428,85.0,81.5
8431,77.0,69.2
8433,78.0,82.8
8434,92.3,87.5
8435,77.3,71.8
8445,71.7,76.2
8447,93.0,87.0
8448,65.7,74.8
8449,81.3,79.0
8451,75.0,68.2
8452,84.3,87.2
8459,81.7,65.8
8460,80.0,82.0
8461,79.3,80.5
8466,80.0,78.0
8468,71.7,76.2
8477,71.7,76.2
8481,80.3,76.5
8483,78.0,82.8
8484,60.7,65.8
8486,87.0,88.5
8490,71.3,69.8
8491,78.7,70.2
8494,93.0,93.2
8496,82.7,87.5
8497,83.7,85.2
8502,92.3,87.5
8505,76.7,72.8
8512,71.7,76.2
8513,73.7,71.0
8518,79.7,80.8
8521,79.7,81.8
8522,67.7,73.5
8523,77.3,57.2
8524,89.3,89.5
8527,79.3,82.2
8529,83.0,78.8
8530,80.0,82.0
8539,77.3,71.8
8545,77.3,71.8
8549,75.7,70.2
8556,75.7,70.2
8559,78.3,73.5
8611,77.3,71.8
8612,76.7,72.8
8633,72.7,70.5
8634,78.7,70.2
8639,75.0,68.2
8642,83.3,80.8
8650,71.7,76.2
8657,75.7,70.2
8662,76.7,72.8
8666,81.0,75.8
8668,59.0,74.5
8669,60.7,65.8
8670,73.0,74.0
8673,80.3,78.5
8674,79.3,73.5
8675,72.7,70.5
8678,88.7,91.2
8679,93.0,93.2
8681,82.7,87.5
8682,83.7,85.2
8683,67.0,68.8
8685,78.0,82.8
8687,92.3,87.5
8689,76.7,72.8
8692,73.7,71.0
8693,65.7,74.8
8695,80.3,78.0
8696,79.0,79.0
8697,72.0,73.8
8698,77.3,57.2
8699,89.3,89.5
8704,79.3,80.5
8707,72.7,70.5
8712,77.3,71.8
8714,72.7,70.5
8717,77.0,63.0
8720,71.7,76.2
8730,72.7,70.5
8737,71.7,76.2
8739,80.0,82.0
8751,80.0,82.0
8752,76.7,72.8
8759,80.3,76.5
8760,78.0,77.2
8762,79.7,78.5
8763,65.3,58.2
8764,79.3,73.5
8765,72.7,70.5
8766,78.7,79.0
8768,81.3,86.8
8769,85.0,81.5
8770,88.7,91.2
8772,93.0,93.2
8776,92.3,87.5
8779,73.7,71.0
8780,80.0,78.0
8781,80.3,78.0
8782,84.3,87.2
8783,79.0,79.0
8784,76.3,74.5
8785,72.0,73.8
8786,77.3,57.2
8787,89.3,89.5
8788,71.0,72.5
8789,79.3,82.2
8791,79.3,80.5
8793,60.7,65.8
8794,92.3,89.8
8795,80.3,78.5
8799,81.0,75.8
8800,77.3,74.8
8801,71.7,76.2
8803,80.3,76.5
8805,78.0,82.8
8807,87.0,88.5
8808,73.0,74.0
8809,74.3,70.8
8810,78.7,79.0
8811,88.7,91.2
8814,83.7,85.2
8815,75.7,70.2
8817,92.3,87.5
8820,76.7,72.8
8825,93.0,87.0
8827,75.0,68.2
8829,80.3,78.0
8831,67.7,73.5
8832,72.0,73.8
8833,77.0,78.2
8835,81.7,65.8
8836,83.0,78.8
8837,80.0,82.0
8843,92.3,89.8
8844,71.7,76.2
8849,81.3,79.0
8859,71.0,72.5
8860,80.0,82.0
8863,80.3,78.0
8864,67.3,57.8
8865,78.7,70.2
8866,93.0,93.2
8869,78.3,73.5
8875,59.0,74.5
8881,79.7,78.5
8883,79.3,73.5
8884,78.7,70.2
8885,81.3,86.8
8890,77.0,69.2
8891,78.0,82.8
8892,77.3,71.8
8893,73.7,71.0
8894,93.0,87.0
8895,65.7,74.8
8896,81.3,79.0
8897,84.3,87.2
8898,79.7,80.8
8900,79.7,81.8
8902,89.3,89.5
8903,83.3,80.8
8905,79.3,82.2
8906,81.7,65.8
8907,80.0,82.0
8910,92.3,89.8
8911,77.0,63.0
8914,72.7,75.2
8915,67.0,68.8
8916,77.3,74.8
8918,67.3,57.8
8921,87.0,88.5
8923,79.3,73.5
8924,78.7,70.2
8925,72.7,70.5
8926,81.3,86.8
8927,85.0,81.5
8930,78.3,73.5
8931,82.7,87.5
8932,83.7,85.2
8933,77.0,69.2
8942,71.7,76.2
8944,75.0,68.2
8945,79.0,79.0
8947,89.3,89.5
8948,83.3,80.8
8949,80.3,76.5
8954,71.0,72.5
8956,60.7,65.8
8961,87.0,88.5
8962,82.7,87.5
8963,92.3,89.8
8966,80.3,76.5
8967,65.3,58.2
8969,82.7,87.5
8972,80.0,78.0
8974,76.3,74.5
8975,77.3,57.2
8978,60.7,65.8
8979,80.3,78.5
8980,71.3,69.8
8981,83.7,85.2
8982,81.0,75.8
8984,71.7,76.2
8985,80.3,76.5
8986,82.7,87.5
8987,71.3,69.8
8988,83.7,85.2
8990,82.7,87.5
8991,71.7,76.2
8993,92.3,89.8
8994,82.7,87.5
8996,73.7,68.8
8997,77.0,63.0
8998,78.7,70.2
9000,73.7,68.8
9001,80.0,82.0
9003,77.3,57.2
9004,72.7,70.5
9005,80.0,82.0
9007,77.3,71.8
9008,71.7,76.2
9010,73.7,68.8
9011,78.7,70.2
9013,80.0,82.0
9015,71.7,76.2
9017,80.0,82.0
9018,71.7,76.2
9019,77.3,57.2
9020,78.7,70.2
9021,80.0,82.0
9022,80.0,82.0
9026,76.7,72.8
9029,76.7,72.8
9031,71.3,69.8
9032,76.7,72.8
9038,77.3,57.2
9040,76.7,72.8
9042,81.7,65.8
9044,59.0,74.5
9046,73.0,74.0
9048,78.0,77.2
9049,79.7,78.5
9050,78.7,79.0
9051,85.0,81.5
9055,93.0,93.2
9057,75.7,70.2
9058,77.0,69.2
9059,78.0,82.8
9063,76.7,72.8
9070,71.7,76.2
9071,73.7,71.0
9072,93.0,87.0
9073,81.3,79.0
9074,75.0,68.2
9076,80.3,78.0
9077,84.3,87.2
9078,79.0,79.0
9079,76.3,74.5
9080,89.3,89.5
9082,83.3,80.8
9083,71.0,72.5
9084,80.0,82.0
9086,79.3,80.5
9090,63.3,75.0
9093,76.3,78.8
9095,77.7,74.2
9098,91.0,89.0
9099,69.0,69.2
9100,73.0,71.5
9101,74.0,70.2
9103,74.0,77.0
9105,76.0,71.5
9106,66.7,70.5
9108,80.0,70.2
9109,82.0,76.2
9110,81.0,89.0
9111,82.3,75.8
9112,78.3,77.0
9113,76.7,73.8
9114,77.3,73.5
9115,72.3,71.8
9116,88.7,89.2
9117,83.3,79.2
9118,77.7,77.0
9120,79.0,79.8
9121,76.7,78.5
9123,77.7,77.2
9124,70.0,59.2
9125,62.0,67.8
9127,92.7,92.0
9130,73.3,77.0
9131,71.3,70.8
9132,81.7,75.8
9134,83.7,80.0
9139,79.7,76.2
9140,79.0,78.0
9141,70.0,68.8
9143,83.0,83.5
9144,81.7,80.5
9146,76.3,73.8
9147,85.0,86.0
9149,73.0,71.5
9150,77.3,81.5
9151,70.3,74.8
9157,80.3,75.2
9159,91.0,85.2
9160,66.7,70.5
9161,83.7,78.5
9162,82.0,76.2
9163,78.3,77.0
9164,81.7,67.5
9168,70.0,59.2
9174,82.0,76.2
9175,79.7,76.2
9176,77.7,74.2
9178,79.0,78.0
9179,83.3,76.2
9181,78.3,72.8
9182,71.7,66.0
9183,70.0,68.8
9184,82.0,77.5
9186,83.0,83.5
9187,81.7,80.5
9189,90.0,88.2
9190,76.3,73.8
9192,69.0,69.2
9194,89.3,86.5
9197,80.3,75.2
9198,82.0,78.0
9199,66.7,70.5
9200,83.7,78.5
9202,81.0,89.0
9203,78.3,77.0
9205,76.7,73.8
9206,79.0,76.2
9207,77.3,73.5
9208,77.7,73.8
9210,77.7,77.0
9211,70.7,73.0
9212,79.0,79.8
9214,81.7,67.5
9217,86.0,87.0
9218,76.3,78.8
9224,63.3,75.0
9226,74.3,69.0
9229,92.7,92.0
9230,76.7,74.5
9231,90.0,88.2
9232,76.3,73.8
9233,91.0,89.0
9234,85.0,86.0
9235,82.3,81.8
9237,73.0,71.5
9238,77.3,81.5
9239,89.3,86.5
9241,79.3,75.0
9245,91.0,85.2
9246,80.0,70.2
9248,81.0,89.0
9250,77.3,73.5
9251,72.3,71.8
9252,83.3,79.2
9254,81.7,67.5
9255,83.7,80.0
9256,76.7,78.5
9257,77.7,77.2
9260,80.3,75.2
9262,91.0,89.0
9265,80.0,70.2
9267,79.0,78.0
9268,90.0,88.2
9269,76.3,73.8
9270,91.0,89.0
9271,79.3,75.0
9273,91.0,85.2
9274,83.7,78.5
9275,81.0,89.0
9276,82.3,75.8
9277,76.7,73.8
9278,77.7,73.8
9279,88.7,89.2
9280,77.7,77.0
9283,83.7,80.0
9285,71.3,73.8
9287,76.0,71.5
9288,66.7,70.5
9289,76.3,78.8
9292,83.0,83.5
9294,69.0,69.2
9295,82.3,81.8
9296,81.7,75.8
9297,70.3,74.8
9300,80.3,75.2
9301,82.0,76.2
9303,82.3,75.8
9304,77.3,73.5
9306,79.0,79.8
9307,71.3,70.8
9309,71.3,70.8
9353,80.3,75.2
9355,70.0,59.2
9370,71.3,70.8
9371,76.0,71.5
9372,73.3,77.0
9373,70.7,73.0
9375,76.0,71.5
9376,79.0,76.2
9377,70.7,73.0
9378,81.7,75.8
9379,76.0,71.5
9383,83.3,76.2
9384,82.3,81.8
9385,76.0,71.5
9388,77.7,73.8
9389,70.7,73.0
9390,76.7,78.5
9392,82.0,78.0
9397,83.3,76.2
9399,76.3,73.8
9400,80.3,75.2
9402,70.7,73.0
9403,70.0,59.2
9404,73.3,77.0
9405,82.0,78.0
9410,83.3,76.2
9411,79.3,75.0
9412,76.7,78.5
9414,70.7,73.0
9415,70.0,59.2
9416,73.3,77.0
9417,82.0,78.0
9421,71.3,70.8
9422,83.3,76.2
9423,82.0,78.0
9427,82.0,78.0
9429,79.0,76.2
9431,76.7,78.5
9432,70.0,68.8
9433,69.0,69.5
9439,80.3,75.2
9443,70.3,74.8
9446,76.7,78.5
9448,69.0,69.5
9450,71.3,73.8
9451,70.3,74.8
9463,62.0,67.8
9465,77.7,74.2
9467,76.3,73.8
9468,82.3,81.8
9469,74.0,70.2
9470,82.3,75.8
9471,63.3,75.0
9472,86.0,87.0
9473,74.3,69.0
9476,90.0,88.2
